City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
362,Craig,US,83.82,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
363,Kamen-Rybolov,RU,66.52,light rain,44.7481,132.0403,"The recreation center ""Olimp"""
366,Argos,GR,74.28,scattered clouds,37.6333,22.7333,Hotel Mycenae
368,Durban,ZA,64.02,clear sky,-29.8579,31.0292,Hilton Durban
370,Mahon,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
371,Macklin,CA,75.54,overcast clouds,52.3334,-109.9348,Macklin Motor Inn
373,Salinopolis,BR,78.19,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
374,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
375,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Pirineos
377,Norrtalje,SE,64.83,few clouds,59.758,18.705,Norrtälje Vandrarhem Hvilan
378,Camapua,BR,75.36,light rain,-19.5314,-54.0439,Comercial Estrela
379,Yanam,IN,73.56,overcast clouds,16.7333,82.2167,The Regency Hotel
383,Arroyo,ES,84.6,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
384,Horsham,GB,68.2,clear sky,51.064,-0.3272,Springfields Hotel
385,Natal,BR,79.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
387,Bhanpura,IN,84.94,overcast clouds,24.513,75.7469,Gaurav wadhwa
390,Caraballeda,VE,82.47,few clouds,10.6112,-66.8522,Hotel 15 Letras
392,Tautira,PF,76.66,scattered clouds,-17.7333,-149.15,Pension Oaoa
400,Hornepayne,CA,68.16,clear sky,49.2138,-84.7705,Kay-Vee Lodge Ltd
401,Sagaing,MM,78.73,overcast clouds,21.8787,95.9797,Makara Cruise
402,Cap Malheureux,MU,65.46,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
403,Dinajpur,BD,81.55,overcast clouds,25.6272,88.6386,Hotel Sahara
404,Sinnamary,GF,75.81,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
405,Metro,ID,75.45,light rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
406,Dingle,PH,78.55,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
407,Oranjestad,AW,82.35,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
408,Inongo,CD,72.37,overcast clouds,-1.95,18.2667,Hotel Du Lac
409,Abha,SA,64.65,scattered clouds,18.2164,42.5053,Abha Hotel
410,Axim,GH,74.84,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
413,Ugoofaaru,MV,82.04,overcast clouds,5.6667,73.0,Ungoofaaru Inn
415,Biak,ID,75.27,overcast clouds,-0.9131,122.8766,Penginapan Kim
416,Immokalee,US,80.51,clear sky,26.4187,-81.4173,Seminole Casino Hotel Immokalee
419,Nuevo Ideal,MX,75.18,broken clouds,24.8875,-105.0728,Hotel Las Águilas
420,Deulgaon Raja,IN,71.47,moderate rain,20.0167,76.0333,Hotel YOGIRAJ LODGING & BOARDIING
422,Pont-Saint-Esprit,FR,73.89,clear sky,44.2549,4.6474,Hôtel Le Mas de l'Olivier
424,Praia Da Vitoria,PT,70.75,broken clouds,38.7333,-27.0667,Hotel Branco I
425,Flin Flon,CA,84.04,few clouds,54.7682,-101.865,Victoria Inn Flin Flon
426,Aksu,CN,71.33,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
429,Lillooet,CA,83.7,clear sky,50.6856,-121.942,Hotel Victoria
430,Manesti,RO,65.16,clear sky,44.8667,25.85,Proprietate privată
432,Sechura,PE,68.77,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
435,Panama City,PA,83.93,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
436,Marand,IR,72.14,clear sky,38.4329,45.7749,کوچه صفا
437,Zhigansk,RU,64.26,light rain,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
438,Huarmey,PE,63.25,few clouds,-10.0681,-78.1522,Hotel Miramar
442,Alekseyevka,RU,63.46,overcast clouds,50.6309,38.6903,Apartment on Ploshchad Pobedy
443,Thunder Bay,CA,71.58,few clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
444,Grand Gaube,MU,66.6,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
448,Nata,PA,80.13,overcast clouds,8.3333,-80.5167,Rey David
449,Tofield,CA,72.37,overcast clouds,53.3668,-112.6686,Tofield Hotel
451,Surab,PK,74.3,few clouds,28.4914,66.2585,Bismillah Hotel
454,Barreirinha,BR,81.07,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
455,Takoradi,GH,74.35,overcast clouds,4.8845,-1.7554,Raybow International Hotel
456,Cairns,AU,65.1,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
457,Banjarmasin,ID,73.54,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
460,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
461,Nago,JP,82.45,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
463,Zhuanghe,CN,70.25,scattered clouds,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
464,Karwar,IN,78.04,light rain,14.8,74.1333,Netalco Connects
465,Green River,US,82.8,broken clouds,41.5286,-109.4662,Hampton Inn & Suites Green River
466,Jalingo,NG,76.1,overcast clouds,8.8833,11.3667,Debright Motel
467,Farafangana,MG,66.43,light rain,-22.8167,47.8333,Miarina
468,Hanyang,CN,72.75,overcast clouds,32.1371,105.5126,Forestry Hostel
469,Tezu,IN,76.6,overcast clouds,27.9167,96.1667,Circuit House
470,Provost,CA,75.65,overcast clouds,52.3501,-110.2683,Canalta Hotel Provost
472,Eyl,SO,79.41,broken clouds,7.9803,49.8164,Amiin Hotel
473,Barcelona,ES,80.83,clear sky,41.3888,2.159,Axel Hotel Barcelona
474,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
475,Leira,ES,72.09,overcast clouds,43.1167,-8.4,Hotel Barreiro
476,Naples,IT,79.14,clear sky,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
479,Pimenta Bueno,BR,78.13,scattered clouds,-11.6725,-61.1936,Cristalina Palace Hotel
484,Prince Albert,CA,78.75,overcast clouds,53.2001,-105.7677,"Holiday Inn Express & Suites Prince Albert, an IHG Hotel"
485,Daru,PG,77.23,overcast clouds,-9.0763,143.2092,Daru Lodge
486,Yinchuan,CN,78.21,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
490,Swan River,CA,82.29,clear sky,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
493,Finschhafen,PG,83.35,few clouds,-6.6024,147.8681,Cossam Guest House
494,Dolhesti,RO,64.45,broken clouds,46.8667,27.9,Cabana Bunești
495,Bang Bo,TH,79.59,broken clouds,13.5743,100.8353,Paeva Luxury Serviced Residence SHA
496,Jiamusi,CN,68.58,overcast clouds,46.8333,130.35,Riversky Hotel
499,Petawawa,CA,69.78,broken clouds,45.9001,-77.3328,Petawawa River Inn & Suites
500,Baracoa,CU,81.3,few clouds,20.3467,-74.4958,Hostal Rio Miel
501,Werneck,DE,70.54,overcast clouds,49.9833,10.1,Hotel Krone-Post
502,Arenapolis,BR,77.59,broken clouds,-14.4503,-56.8461,Mato Grosso Hotel
503,Sakaiminato,JP,75.13,light rain,35.55,133.2333,Italian pasley
505,Bafq,IR,78.51,clear sky,31.6128,55.4107,Alamdar Hotel
510,Radford,US,81.52,overcast clouds,37.1318,-80.5764,La Quinta Inn by Wyndham Radford
511,Aquin,HT,81.75,clear sky,18.2833,-73.4,Asheev Beach
514,Honiara,SB,84.47,scattered clouds,-9.4333,159.95,Heritage Park Hotel
516,Moyale,KE,66.76,broken clouds,3.5167,39.0584,La Tahzan Guest House
517,Nanfeng,CN,80.26,clear sky,23.7434,111.7959,Nanfeng Hotel
521,Faanui,PF,78.13,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
522,Benguela,AO,68.0,broken clouds,-12.5763,13.4055,Hotel Praia Morena
524,Ust-Nera,RU,67.23,overcast clouds,64.5667,143.2,Hotel Ust-Nera
527,Bonthe,SL,76.01,light rain,7.5264,-12.505,Bonthe Holiday Village
529,Pundaguitan,PH,81.59,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
530,Payo,ID,72.88,overcast clouds,-3.7508,103.6372,Mess keban agung
532,Muroto,JP,78.4,overcast clouds,33.2833,134.15,Oota Ryokan
534,Dukhovnitskoye,RU,73.69,overcast clouds,52.4828,48.2137,"Gostevoy Dom,, Mechta,,"
535,Uberaba,BR,73.98,clear sky,-19.7483,-47.9319,Tamareiras Park Hotel
536,Manokwari,ID,79.81,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
537,Neftcala,AZ,76.6,clear sky,39.3742,49.2472,Otel restoran
541,Playas,EC,70.57,broken clouds,-2.6333,-80.3833,Hostal Promenade
543,Vila Franca Do Campo,PT,68.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
544,Muisne,EC,75.09,overcast clouds,0.6,-80.0333,Quinta Samay
545,Dinagat,PH,81.95,overcast clouds,9.9561,125.5933,Ocean Front Homestay
547,Urumqi,CN,72.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
548,Pathein,MM,75.29,overcast clouds,16.7833,94.7333,Pathein Hotel
550,Yelizovo,RU,66.34,volcanic ash,53.1873,158.3805,Kamchatskiy Stil' Hostel
553,Beira,MZ,68.09,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
556,Zimovniki,RU,70.38,few clouds,47.1483,42.4633,"Dom Priyezzhikh, Gostinitsa"
561,Erdaojiang,CN,65.34,overcast clouds,41.7764,126.0319,Tonggang Hotel
564,Qax,AZ,72.59,clear sky,41.4225,46.9242,El Resort Hotel
565,Cabra,ES,80.53,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
567,Xingcheng,CN,74.88,clear sky,40.6167,120.7167,New Century Hotel
570,Luleburgaz,TR,63.79,clear sky,41.4039,27.3592,alparslan rant a car
573,Asfi,MA,72.61,overcast clouds,32.2994,-9.2372,Hôtel Abda
576,Paka,MY,76.93,moderate rain,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
578,Quartucciu,IT,78.03,clear sky,39.2519,9.1794,Best Western Hotel Residence Italia
581,Murgab,TM,79.95,clear sky,37.4966,61.9714,Wepa Nurlyýew
583,Nkongsamba,CM,66.6,light rain,4.9547,9.9404,Hotel Yodi Chute D' Ekom Nkan
586,Peruibe,BR,63.39,overcast clouds,-24.32,-46.9983,Hotel Pousada Xapuri
588,Atikokan,CA,72.28,broken clouds,48.7555,-91.6216,Quetico Inn (formerly Radisson)
589,Khandbari,NP,73.13,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
592,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
593,Diamantino,BR,77.23,broken clouds,-14.4086,-56.4461,Hotel Delta
597,Pangkalanbuun,ID,73.22,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
598,Miracema Do Tocantins,BR,80.65,few clouds,-9.5618,-48.3967,Miami Apart Hotel
606,Griffith,US,79.25,broken clouds,41.5284,-87.4237,Apartment above Depot Bar
608,Oktyabrskoye,RU,64.99,few clouds,43.0645,44.7417,Prolesok Mini-hotel
610,Canmore,CA,78.91,broken clouds,51.0834,-115.3521,Blackstone Mountain Lodge by CLIQUE
611,Vila,PT,76.08,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
613,Mahibadhoo,MV,82.6,overcast clouds,3.7833,72.9667,Omadhoo Inn
615,Ipixuna,BR,74.93,heavy intensity rain,-1.7625,-48.8043,Chalé do Mato
616,Saint Anthony,US,80.1,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
619,Sidi Ali,DZ,75.06,clear sky,36.0998,0.4206,Complexe touristique haje bezine
620,Rumonge,BI,71.94,scattered clouds,-3.9736,29.4386,Kwetu Guest House
621,Tual,ID,79.38,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
622,Carauari,BR,80.69,overcast clouds,-4.8828,-66.8958,Hotel Fellip
624,Luorong,CN,79.74,clear sky,24.4058,109.6086,荣立大酒店
627,Monrovia,LR,76.35,light rain,6.3005,-10.7969,Sunset Inn
632,Omutninsk,RU,67.23,broken clouds,58.67,52.1932,"Hotel ""Road"""
633,Tiarei,PF,82.42,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
634,Wake Forest,US,83.16,scattered clouds,35.9799,-78.5097,Hampton Inn Raleigh/Town Of Wake Forest
635,Lazurne,UA,68.38,broken clouds,46.084,32.5295,New Manna Hostel
637,Kalianget,ID,79.29,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
638,Dwarka,IN,82.11,very heavy rain,22.2394,68.9678,Hotel Narayan Avezika Comfort
641,Kimbe,PG,84.78,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
642,Gambela,ET,70.41,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
643,The Valley,AI,82.09,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
644,Outram,MY,82.29,broken clouds,1.2829,103.8379,Grand Copthorne Waterfront
646,Mananjary,MG,64.33,light rain,-21.2167,48.3333,Vahiny Lodge
648,Belmonte,BR,72.25,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
650,Chapais,CA,67.78,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
651,Kattivakkam,IN,82.49,overcast clouds,13.2167,80.3167,Euronova Freezer
653,Itoman,JP,84.22,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
654,Breves,BR,80.38,overcast clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
657,Carutapera,BR,76.23,overcast clouds,-1.195,-46.02,Lidera
658,Inhambane,MZ,65.35,clear sky,-23.865,35.3833,Oceano
660,Nha Trang,VN,78.8,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
661,Portland,US,83.16,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
663,Fond Du Lac,US,75.47,clear sky,43.775,-88.4388,Radisson Hotel and Conference Center Fond du Lac
664,Acarau,BR,79.43,broken clouds,-2.8856,-40.12,castelo pizzaria
667,Begoro,GH,67.6,overcast clouds,6.3871,-0.3774,Sweet Memories Hotel
668,Nouadhibou,MR,69.78,few clouds,20.931,-17.0347,El Medina
671,Dongning,CN,66.31,moderate rain,44.0622,131.1207,Huayu Hotel
672,Pontianak,ID,73.38,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
675,Half Moon Bay,US,84.06,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
676,Hun,LY,75.31,clear sky,29.1268,15.9477,Alrwasi Hotel
677,Agapovka,RU,63.61,light rain,53.2973,59.1348,Gostinitsa Zhkkh
678,Limbang,MY,73.51,overcast clouds,4.75,115.0,Purnama Hotel
